idUsuario1,idUsuario2,fechaAmistad
1,6,2026-05-22
1,102,2017-04-09
1,383,2021-06-10
2,152,2019-05-16
2,183,2022-05-28
2,368,2022-08-23
2,392,2018-05-02
2,491,2022-11-13
3,22,2021-12-23
3,36,2024-10-17
3,62,2019-03-14
3,180,2017-10-16
3,266,2026-01-13
3,327,2024-01-30
3,353,2026-04-24
3,374,2017-08-16
3,377,2025-10-15
3,467,2019-11-05
3,492,2025-08-11
4,22,2026-03-03
4,110,2021-12-05
4,222,2021-01-07
4,249,2022-12-30
4,371,2021-11-30
4,389,2021-01-03
4,494,2017-07-07
4,497,2026-04-30
5,90,2021-03-25
5,93,2019-05-26
5,128,2020-06-09
5,217,2016-11-29
5,295,2019-04-17
5,324,2024-09-12
5,462,2017-03-06
5,487,2021-08-12
6,111,2017-07-17
6,219,2023-08-10
6,356,2026-03-16
6,406,2016-12-15
6,411,2016-08-09
6,434,2021-04-07
6,436,2018-12-10
6,466,2022-10-08
7,32,2025-06-13
7,52,2019-12-15
7,91,2023-09-13
7,130,2017-03-04
7,163,2021-12-08
7,294,2020-11-03
7,313,2023-02-08
7,384,2020-12-14
8,45,2024-05-30
8,187,2020-08-29
8,202,2023-11-20
8,338,2018-09-07
8,391,2019-11-22
9,24,2025-03-12
9,80,2018-08-17
9,105,2017-01-11
9,149,2023-07-19
9,168,2024-05-02
9,195,2018-02-22
9,229,2018-04-21
9,335,2020-10-22
9,365,2022-06-17
9,378,2017-03-26
9,384,2018-12-11
9,428,2018-08-02
9,457,2025-12-01
10,56,2023-09-27
10,144,2019-11-22
10,149,2023-05-01
10,158,2020-08-18
10,191,2018-11-07
10,349,2017-02-23
10,359,2022-02-16
10,398,2017-02-21
10,463,2023-12-12
10,475,2025-10-27
11,15,2022-03-18
11,44,2018-12-11
11,53,2022-07-31
11,56,2018-07-29
11,76,2017-09-13
11,118,2024-11-07
11,149,2024-05-27
11,292,2024-01-20
11,338,2016-11-17
11,340,2021-12-30
11,359,2026-03-26
11,426,2018-07-30
11,472,2019-11-07
12,53,2024-09-17
12,70,2023-03-16
12,85,2020-02-27
12,96,2022-10-24
12,412,2024-07-08
13,67,2018-12-31
13,74,2022-03-07
13,95,2018-03-22
13,225,2025-11-15
13,272,2018-05-04
13,418,2018-07-22
14,38,2017-08-04
14,87,2022-02-05
14,198,2021-04-19
14,217,2016-07-19
14,222,2018-02-15
14,282,2026-04-08
