idUsuario,idTipoCocina,nivelInteres
1,12,5
1,15,5
1,2,4
2,5,4
2,12,3
2,6,5
2,10,3
3,14,4
3,12,4
3,11,5
4,9,4
4,10,5
4,1,5
5,14,4
5,5,4
5,1,3
6,6,3
7,1,4
7,3,4
7,15,5
7,13,5
8,2,4
8,1,4
9,12,4
9,4,5
9,7,3
9,13,4
10,15,3
10,9,3
10,4,3
11,7,4
11,2,4
12,10,3
13,3,3
13,11,5
14,8,4
14,11,3
15,1,3
15,12,5
15,4,4
15,10,5
16,12,5
17,4,3
17,14,4
18,3,5
18,10,4
19,3,5
19,9,4
20,8,3
20,14,3
20,3,3
21,10,3
22,6,3
22,10,4
22,15,4
23,11,3
23,14,5
23,4,4
24,5,4
25,14,3
25,12,4
25,5,3
25,15,5
26,5,4
26,12,4
27,8,3
27,7,4
27,14,5
27,1,4
28,8,4
29,9,5
29,15,3
29,12,5
29,6,5
30,14,5
30,1,5
31,4,4
31,7,5
31,6,3
31,9,5
32,12,3
32,4,5
33,11,5
33,6,5
33,4,5
33,9,4
34,10,5
35,11,4
35,13,3
36,5,3
37,1,4
37,10,3
37,15,3
38,6,3
38,9,4
38,7,5
38,8,3
39,9,4
39,13,3
39,14,4
40,12,5
40,4,4
40,6,3
41,3,4
41,13,5
41,4,4
41,1,3
42,3,3
42,15,3
43,15,4
43,13,3
43,14,3
43,9,4
44,12,3
45,11,3
45,15,5
46,8,4
46,4,5
47,1,5
47,13,4
47,2,3
47,8,4
48,7,4
48,14,3
48,15,4
49,15,3
49,8,3
49,11,4
50,11,5
51,13,3
51,10,5
52,4,5
52,11,3
53,4,3
53,8,4
54,4,3
54,2,3
55,12,5
55,8,4
55,2,3
55,11,4
56,11,3
57,1,5
57,6,4
57,14,4
58,14,3
59,11,5
59,12,3
59,2,3
60,13,4
60,8,3
61,9,5
61,10,5
62,4,5
62,1,4
63,5,5
63,4,3
63,15,3
64,6,5
64,9,5
65,3,4
65,2,3
65,5,5
65,14,4
66,8,5
66,6,4
67,11,4
67,2,3
67,7,5
67,3,3
68,13,5
69,2,5
70,5,3
70,1,4
70,8,5
70,7,5
71,13,4
71,7,4
71,8,4
71,9,4
72,15,4
73,2,5
73,11,5
73,9,4
73,14,3
74,9,5
74,14,4
75,5,3
75,13,3
75,1,5
76,3,4
77,6,3
78,9,4
78,2,3
79,12,4
79,15,3
79,4,3
79,9,3
80,4,5
80,12,3
80,13,5
81,6,3
81,4,5
81,10,4
81,15,3
82,3,3
82,8,3
82,2,5
82,10,3
83,1,3
83,7,4
84,11,4
84,2,5
85,15,5
85,5,4
85,1,3
85,8,5
86,3,4
87,11,5
87,1,3
88,8,3
88,5,5
88,15,4
89,4,5
89,2,5
89,10,5
90,13,3
90,15,5
90,12,5
90,4,4
91,10,5
91,7,5
92,5,3
92,4,5
92,10,3
92,14,4
93,1,5
93,5,3
93,3,3
94,5,4
94,14,4
94,8,4
94,13,3
95,10,3
96,3,3
96,15,4
96,8,4
96,4,3
97,15,5
97,9,4
98,15,5
99,11,3
99,4,4
100,12,4
101,10,4
101,2,4
101,4,4
101,12,3
102,15,4
102,5,3
102,12,3
102,7,5
103,14,4
103,1,3
103,6,3
104,13,5
104,14,3
105,4,4
105,3,5
105,15,4
106,6,5
106,10,5
106,7,4
106,12,4
107,4,3
107,1,4
107,15,5
107,12,4
108,3,3
109,11,4
109,3,4
110,10,3
110,1,5
110,11,3
111,14,3
112,12,3
112,15,5
112,3,4
112,13,3
113,15,5
114,6,5
114,15,3
114,7,5
115,8,5
115,6,3
115,11,5
116,3,5
117,15,4
117,10,4
118,15,4
119,14,5
120,13,4
120,5,3
121,7,5
122,15,3
122,14,4
122,4,3
122,6,3
123,5,4
124,14,4
124,12,3
124,9,4
124,1,5
125,2,3
126,15,4
126,10,5
126,14,5
127,6,4
127,15,5
128,15,5
129,4,3
129,9,3
130,13,5
130,15,4
131,8,4
131,7,5
131,1,5
132,8,4
132,13,5
132,6,3
133,2,3
134,13,3
134,15,3
134,3,4
135,12,5
135,7,4
136,7,5
136,14,4
136,2,3
137,2,4
137,11,5
137,8,5
137,13,5
138,1,4
139,5,4
139,12,5
139,6,5
140,5,4
140,13,4
141,7,3
141,4,3
142,3,5
142,4,4
142,9,5
142,2,4
143,9,4
144,13,5
144,8,3
145,13,5
146,5,3
146,4,5
146,14,3
147,15,4
147,11,5
147,14,4
148,1,3
148,4,3
149,3,5
149,12,3
149,9,3
150,7,5
150,11,5
151,9,3
151,13,5
151,6,4
152,4,4
152,10,5
153,2,3
154,14,4
154,15,5
154,12,4
154,11,4
155,9,3
155,7,3
155,6,3
156,12,3
157,1,3
157,12,5
158,9,3
159,8,4
159,7,5
159,6,3
160,14,4
160,15,3
161,13,5
162,11,4
162,4,5
162,7,5
163,5,3
163,13,3
163,8,4
164,4,4
164,1,4
164,5,4
165,14,3
165,15,3
165,10,4
166,3,4
166,9,5
167,6,4
167,8,4
168,6,3
168,12,5
169,15,4
170,15,5
171,3,3
172,3,3
172,10,5
173,11,4
173,13,3
173,8,3
173,12,3
174,15,3
174,7,5
174,8,4
175,6,3
175,9,4
176,14,5
176,9,3
177,2,5
177,15,3
178,15,5
178,8,4
179,14,3
179,10,4
179,8,5
180,7,3
180,15,5
180,4,5
181,7,5
182,4,4
182,6,5
183,15,5
184,5,4
185,2,4
185,3,4
186,10,4
186,7,3
186,13,4
186,2,3
187,8,4
188,13,4
188,4,3
188,11,4
189,9,4
190,6,5
190,10,3
190,15,3
190,9,4
191,8,3
192,6,4
192,15,5
193,11,3
193,3,5
193,7,3
194,6,3
194,2,3
194,1,3
194,7,4
195,7,4
195,10,5
195,3,4
196,12,3
196,11,5
196,3,3
196,13,4
197,11,5
197,1,5
198,2,5
198,5,5
198,9,3
199,3,4
200,3,5
200,4,5
201,8,4
201,2,3
202,9,4
202,10,5
203,11,4
204,9,5
204,15,5
204,10,3
205,8,3
205,3,5
205,13,3
206,14,4
206,1,5
207,4,4
208,9,4
209,15,4
210,6,5
210,2,5
211,4,3
211,2,4
212,4,3
212,15,4
212,9,3
212,3,3
213,5,4
213,13,3
213,8,4
213,4,4
214,3,4
214,6,4
214,5,4
214,14,5
215,3,3
215,4,3
215,6,3
216,4,3
216,14,5
216,6,4
216,1,4
217,5,4
217,6,5
218,2,5
218,1,5
218,14,3
218,6,3
219,14,3
219,2,3
220,13,4
220,3,4
221,9,3
221,8,5
221,10,3
221,5,3
222,12,3
222,8,4
222,4,5
222,11,3
223,2,5
224,2,4
224,13,4
225,11,3
225,7,5
226,12,4
226,5,4
226,14,4
226,15,5
227,8,4
227,10,4
227,7,5
228,9,5
228,3,4
229,7,3
229,10,3
230,15,5
230,9,4
231,15,3
231,9,5
232,11,4
232,12,4
233,15,4
234,4,5
234,13,4
234,3,5
235,2,4
235,10,3
235,8,3
236,1,3
236,7,5
236,4,4
237,4,5
237,5,4
237,8,4
238,8,5
238,3,4
238,5,3
239,9,3
239,13,4
239,8,4
239,12,3
240,5,3
240,14,4
240,2,3
241,12,5
241,2,5
242,9,5
242,7,4
242,14,3
243,2,3
243,8,3
243,14,5
244,11,3
244,10,5
244,15,3
245,1,4
245,5,5
245,4,5
246,12,5
246,8,4
247,2,4
247,6,4
247,13,5
248,15,3
249,11,4
249,7,5
250,3,3
250,7,3
250,8,4
250,5,4
251,10,4
251,8,4
251,7,4
252,6,3
253,9,3
254,9,3
254,4,3
254,5,4
254,10,4
255,13,5
255,12,5
255,3,5
255,11,4
256,11,5
256,12,5
257,11,3
257,9,5
258,6,4
258,10,4
258,3,5
259,14,4
259,9,4
259,5,3
259,7,5
260,4,3
260,13,3
260,8,3
261,15,5
262,1,5
262,8,3
262,15,5
263,14,4
263,11,4
263,1,3
263,13,4
264,11,3
264,13,5
264,2,4
264,10,5
265,3,4
266,3,3
266,11,4
267,3,3
268,10,3
269,3,4
269,7,5
269,15,3
270,6,4
270,10,3
270,3,5
271,8,3
271,3,4
271,9,4
271,7,3
272,14,3
273,9,5
273,6,5
274,10,5
274,2,3
274,9,5
275,10,5
276,4,3
277,4,4
277,10,5
277,14,5
277,9,5
278,9,5
278,5,4
279,15,5
279,11,4
279,3,3
279,8,5
280,13,4
280,4,4
281,5,3
281,12,5
281,7,5
281,14,5
282,10,4
282,6,5
283,13,4
283,7,3
283,12,5
283,9,5
284,3,4
284,2,5
284,5,4
285,9,4
285,8,5
285,11,3
285,2,4
286,3,4
286,4,5
286,9,3
286,2,5
287,13,4
287,15,3
288,14,3
289,3,5
289,15,5
289,2,4
289,4,4
290,1,4
290,8,3
291,3,3
291,4,4
291,2,3
291,11,3
292,10,4
293,2,3
293,12,4
294,15,5
294,3,5
295,5,4
295,9,5
296,15,3
296,1,5
296,5,4
297,9,3
297,4,5
297,10,4
298,9,5
299,1,5
299,3,3
300,15,3
300,5,3
301,14,5
302,14,5
302,9,5
303,12,3
303,9,3
304,4,5
304,11,4
304,8,4
305,15,3
305,5,4
306,7,4
307,9,4
307,1,5
308,12,5
308,4,5
308,15,5
308,14,5
309,2,4
309,15,3
310,8,5
310,1,5
311,7,3
312,9,3
312,7,4
313,6,3
313,15,4
314,12,3
314,5,4
314,2,4
314,13,4
315,8,4
315,10,5
316,8,4
316,11,4
317,13,5
317,1,4
318,4,3
319,11,5
319,3,5
319,8,3
319,9,5
320,4,5
320,3,3
320,9,3
320,2,3
321,4,5
321,2,3
322,13,3
322,12,3
323,11,5
324,1,3
325,11,5
325,14,5
325,15,5
326,15,5
326,1,5
327,4,4
327,9,5
328,9,5
328,11,5
329,1,3
329,3,3
329,9,3
329,5,4
330,12,5
330,1,3
330,10,4
330,6,4
331,7,4
332,1,4
332,12,4
332,7,5
332,11,5
333,7,3
333,15,5
333,10,3
333,2,4
334,6,3
334,15,5
335,13,4
335,8,4
335,10,4
336,2,4
336,10,3
336,9,4
337,5,4
337,10,5
337,8,3
337,2,4
338,1,4
338,14,4
339,4,4
339,3,3
339,12,3
339,15,3
340,9,3
340,7,5
341,15,5
341,1,5
341,4,5
342,1,5
342,11,5
342,5,3
342,2,5
343,15,4
343,5,4
343,2,5
344,1,3
345,9,3
345,4,3
345,7,5
345,1,5
346,3,4
346,6,5
346,12,3
347,15,4
347,12,3
347,11,5
347,7,4
348,9,4
348,15,5
349,10,3
350,13,4
350,5,3
351,8,5
352,13,4
352,8,3
353,10,4
353,12,4
353,7,4
354,10,4
354,2,5
355,15,4
355,11,5
356,14,4
356,8,5
356,7,3
356,4,5
357,8,4
358,1,5
358,7,5
359,13,3
359,15,5
359,14,3
359,12,5
360,7,3
360,3,3
361,15,4
361,7,3
361,5,4
361,2,5
362,5,4
362,9,4
362,4,4
362,12,5
363,9,5
364,8,4
365,10,4
365,2,3
365,3,3
365,9,3
366,6,5
366,12,4
367,3,4
367,10,5
367,2,5
368,8,3
369,8,4
369,12,4
369,13,4
370,5,5
370,13,4
370,12,3
370,15,3
371,3,4
371,1,4
371,11,3
372,10,5
372,6,4
373,2,4
373,12,5
373,11,3
374,12,3
374,2,4
375,14,4
376,7,3
376,15,4
377,10,4
378,9,3
378,7,5
378,15,5
379,3,3
380,5,3
381,15,4
381,7,3
382,14,3
382,11,5
383,2,4
383,1,4
383,5,3
384,11,3
384,12,4
384,8,3
384,5,5
385,11,5
385,12,3
385,15,4
386,11,4
386,1,3
386,8,4
387,12,3
388,10,5
388,9,3
388,15,4
389,12,4
390,9,3
391,14,4
391,3,5
391,6,4
392,3,5
392,6,3
392,2,4
393,3,3
393,14,5
393,15,5
394,11,5
394,5,3
395,13,5
396,5,4
397,1,4
397,14,5
397,7,3
398,8,3
398,15,5
398,5,5
399,1,4
399,15,5
400,11,3
400,1,3
400,13,4
401,14,4
401,4,3
401,11,5
401,10,3
402,13,3
402,15,5
402,10,4
402,12,3
403,12,4
404,13,4
404,10,4
404,12,3
405,4,5
405,3,4
405,13,5
405,14,4
406,13,3
406,10,5
406,9,4
407,13,5
407,15,4
407,3,4
407,9,4
408,5,4
409,15,5
410,1,4
410,14,5
410,13,4
411,4,3
411,11,3
412,7,5
412,2,5
413,7,4
413,15,3
414,15,5
414,5,3
414,12,5
414,4,3
415,7,3
415,4,3
416,4,3
416,11,4
417,2,3
418,11,4
419,5,4
419,1,5
419,13,4
420,13,4
420,9,5
420,5,3
420,11,4
421,11,4
421,4,4
421,10,3
421,9,4
422,10,5
423,3,3
424,12,3
425,11,4
425,9,3
425,14,5
426,2,4
426,1,5
427,7,4
428,15,4
428,8,5
428,5,5
429,7,5
429,9,5
429,12,3
430,14,3
430,10,3
431,2,5
431,1,4
431,4,5
431,14,3
432,4,3
432,7,4
433,1,4
433,8,4
433,6,4
433,2,5
434,8,5
435,14,4
435,5,5
435,7,4
436,14,5
437,14,4
437,10,4
437,11,5
438,6,5
438,13,4
438,11,4
438,15,3
439,12,4
439,6,3
440,11,5
440,2,5
440,9,5
441,6,5
441,13,4
442,10,4
442,15,3
443,12,4
444,11,5
444,8,3
445,5,3
445,8,3
445,13,3
446,4,3
446,9,5
446,11,5
447,3,5
447,4,3
447,8,5
447,7,4
448,15,5
448,8,3
449,5,3
450,14,4
450,9,4
451,12,4
451,7,3
452,9,5
452,2,5
453,13,5
454,1,5
455,12,4
455,5,3
455,13,5
455,15,3
456,14,5
456,12,4
457,2,5
457,12,5
457,4,4
458,15,3
458,10,4
458,7,4
459,11,4
460,10,4
460,13,5
460,4,3
461,1,4
