idRestaurante,idTipoCocina
1,1
1,3
1,10
2,1
2,8
2,13
3,4
3,5
3,6
4,8
5,9
6,5
6,11
6,13
7,7
8,7
8,10
9,1
10,12
11,8
11,10
12,8
13,1
13,8
14,12
14,13
14,14
15,1
15,4
16,12
17,6
17,7
17,14
18,7
19,2
19,3
19,13
20,8
20,10
20,13
21,3
22,7
22,10
22,15
23,10
24,13
25,9
25,10
26,2
27,2
28,4
29,5
29,12
30,5
30,6
31,6
31,9
31,10
32,3
33,5
34,5
34,9
34,15
35,14
35,15
36,4
36,13
37,4
38,7
39,7
39,12
40,11
40,12
41,11
41,12
42,5
42,8
42,12
43,10
43,15
44,2
44,3
45,8
45,15
46,5
46,12
47,9
48,2
49,10
49,15
50,7
50,11
50,13
51,1
51,11
52,2
52,3
52,8
53,11
53,14
54,1
54,7
54,15
55,7
55,15
56,3
56,8
56,9
57,1
57,4
57,9
58,1
58,9
59,15
60,15
61,14
61,15
62,13
63,2
63,12
63,13
64,9
65,1
65,4
65,12
66,11
66,14
67,7
67,8
68,9
69,6
69,9
69,11
70,3
71,4
71,5
71,14
72,4
72,11
73,1
73,3
73,6
74,6
74,14
75,1
75,6
75,7
76,1
76,6
77,4
77,6
78,8
78,13
79,5
79,8
79,13
80,3
80,5
80,13
81,3
81,14
81,15
82,2
82,4
82,6
83,10
83,15
84,7
85,8
85,9
85,11
86,3
86,5
86,14
87,1
87,13
87,14
88,7
88,15
89,12
90,15
91,11
92,8
93,8
93,10
93,11
94,6
94,8
94,13
95,2
95,12
96,7
97,15
98,7
99,5
100,5
100,6
100,14
101,7
101,8
101,13
102,10
102,14
103,5
104,14
105,9
105,10
105,15
106,6
106,13
107,2
107,6
107,9
108,2
108,13
109,5
109,7
110,14
111,6
111,14
112,5
112,11
113,4
114,5
114,15
115,8
116,2
116,6
116,15
117,4
117,8
117,14
118,1
118,2
118,4
119,2
119,9
119,12
120,6
120,7
120,12
121,1
121,7
121,8
122,7
122,8
123,3
123,9
124,6
124,7
124,14
125,12
125,13
126,7
127,7
127,9
128,3
128,5
128,12
129,1
129,15
130,6
130,10
131,13
131,14
132,6
132,15
133,2
133,4
133,15
134,7
134,9
134,13
135,1
136,6
136,13
137,1
137,9
137,13
138,5
138,13
138,15
139,12
139,15
140,13
141,7
141,8
142,4
142,5
142,7
143,4
143,7
143,8
144,4
144,12
145,1
145,10
146,10
146,11
146,15
147,10
147,12
147,13
148,1
148,5
148,9
149,10
149,11
150,9
151,7
151,10
152,15
153,7
153,9
154,6
154,7
155,5
155,15
156,9
157,1
158,12
159,5
159,7
159,10
160,12
161,4
161,9
162,7
163,2
163,5
164,7
164,15
165,4
165,11
165,14
166,4
166,9
166,15
167,12
168,3
168,4
168,15
169,3
170,3
170,13
171,4
171,7
172,12
172,13
173,9
173,10
174,4
174,12
175,1
175,3
175,12
176,3
177,11
178,6
179,6
179,9
180,3
180,14
181,1
181,4
181,6
182,5
182,15
183,1
183,8
183,12
184,6
185,4
185,6
186,1
187,11
187,14
188,8
188,11
189,5
189,9
190,2
190,15
191,2
192,10
193,13
194,3
194,13
194,15
195,6
195,11
195,12
196,2
196,13
196,14
197,13
198,13
199,3
199,6
199,10
200,1
