idPlatillo,nombre,precioBase,descripcion
1,Platillo 1,141.75,Either pass including challenge speech.
2,Platillo 2,247.68,Each anyone article group.
3,Platillo 3,152.67,Conference play for.
4,Platillo 4,190.86,Just bill food.
5,Platillo 5,189.65,But husband head.
6,Platillo 6,247.1,Meeting story relate occur.
7,Platillo 7,150.91,Perhaps avoid Congress pick.
8,Platillo 8,58.53,Game especially event inside.
9,Platillo 9,107.08,Will also arm simply form several.
10,Platillo 10,139.54,Keep oil season protect play.
11,Platillo 11,202.4,Evidence drug arrive seem.
12,Platillo 12,94.11,Represent bill kind whose.
13,Platillo 13,42.71,Probably career cut picture sit company.
14,Platillo 14,202.1,Woman will before.
15,Platillo 15,160.71,Pressure minute indicate budget.
16,Platillo 16,171.42,Money than feel program around site.
17,Platillo 17,154.46,Into range face.
18,Platillo 18,97.41,Man avoid option between.
19,Platillo 19,81.11,Able blue fill argue officer quality.
20,Platillo 20,224.95,Type newspaper often son.
21,Platillo 21,216.08,Maybe necessary couple nor.
22,Platillo 22,155.31,Look again somebody computer marriage meet.
23,Platillo 23,183.14,Effect full your federal federal doctor.
24,Platillo 24,25.25,Know suddenly add part once require.
25,Platillo 25,197.96,Would voice important spend to.
26,Platillo 26,73.43,Government plant avoid experience resource.
27,Platillo 27,75.55,Technology reflect herself training available skin.
28,Platillo 28,142.71,Hundred attention mission authority.
29,Platillo 29,86.8,Parent character right boy lay herself.
30,Platillo 30,32.06,Similar necessary television yes.
31,Platillo 31,83.54,Especially fall attorney challenge shoulder treatment.
32,Platillo 32,82.42,Again above action traditional great wide.
33,Platillo 33,190.0,Add near network.
34,Platillo 34,49.92,Catch easy explain know between social.
35,Platillo 35,213.92,Name foreign specific peace decision.
36,Platillo 36,46.72,A around center particular their rest.
37,Platillo 37,64.23,Trouble involve boy avoid.
38,Platillo 38,49.32,Several brother occur be.
39,Platillo 39,173.16,Become east democratic American.
40,Platillo 40,144.51,Election upon international education support.
41,Platillo 41,145.94,Dinner term into difficult idea.
42,Platillo 42,121.78,He eye magazine human.
43,Platillo 43,205.74,Manage through such.
44,Platillo 44,25.61,Piece game bring.
45,Platillo 45,187.63,Wrong my pay research seven look.
46,Platillo 46,84.31,Religious return central away along.
47,Platillo 47,103.78,Case probably level or.
48,Platillo 48,185.24,Piece well prove.
49,Platillo 49,55.85,Until last Republican child item team.
50,Platillo 50,201.39,Pressure nice foreign hard across bed.
