idChef,idPlatillo,estilo,especialidad
1,21,Moderno,Community
1,24,Gourmet,According
1,27,Fusion,Rest
2,2,Tradicional,Need
2,8,Tradicional,At
2,17,Tradicional,Window
2,22,Moderno,Laugh
2,23,Fusion,Full
2,31,Gourmet,Type
3,2,Gourmet,Pull
3,12,Moderno,Month
3,15,Moderno,Story
3,17,Fusion,Space
3,23,Fusion,They
3,28,Gourmet,Stuff
3,31,Fusion,Investment
4,5,Tradicional,Add
4,20,Fusion,Option
4,23,Tradicional,Whom
4,25,Gourmet,Score
5,2,Tradicional,Again
5,15,Moderno,Cost
5,16,Gourmet,Say
5,17,Moderno,Book
5,18,Moderno,Several
5,21,Moderno,Six
5,42,Gourmet,Economic
6,1,Gourmet,Republican
6,18,Tradicional,With
6,24,Gourmet,Determine
6,27,Gourmet,Bar
6,29,Fusion,Federal
6,45,Fusion,Side
7,5,Moderno,Must
7,6,Fusion,Run
7,16,Fusion,Conference
7,26,Tradicional,Care
7,36,Gourmet,Defense
7,43,Moderno,Near
7,44,Moderno,Trip
8,2,Moderno,Sound
8,23,Tradicional,Attorney
8,29,Gourmet,Sell
8,32,Moderno,Environmental
8,40,Fusion,Fast
8,45,Tradicional,Fill
9,17,Moderno,And
9,18,Moderno,Field
9,23,Gourmet,Notice
9,31,Fusion,Which
10,2,Fusion,Free
10,3,Moderno,Bit
10,19,Gourmet,Often
10,28,Tradicional,Cold
11,9,Gourmet,Represent
11,16,Moderno,Us
11,35,Fusion,Begin
11,43,Fusion,Again
11,44,Tradicional,Factor
11,50,Gourmet,Yet
12,3,Moderno,Argue
12,4,Tradicional,History
12,12,Gourmet,Toward
12,18,Fusion,Arrive
12,35,Fusion,North
12,38,Fusion,Foot
12,39,Tradicional,Itself
12,41,Tradicional,Assume
13,28,Moderno,Mother
13,45,Tradicional,Morning
13,47,Moderno,Half
14,5,Fusion,Including
14,14,Moderno,Prepare
14,16,Moderno,Use
14,47,Fusion,Apply
15,2,Fusion,American
15,5,Tradicional,Whole
15,24,Moderno,Door
15,26,Moderno,Happy
15,33,Gourmet,Practice
15,41,Tradicional,Movie
16,1,Gourmet,Expert
16,10,Moderno,Great
16,22,Fusion,Early
16,37,Fusion,Consumer
16,40,Gourmet,Daughter
16,41,Moderno,War
16,44,Gourmet,Him
16,50,Tradicional,Beautiful
17,5,Tradicional,New
17,16,Fusion,Marriage
17,23,Fusion,Good
17,35,Tradicional,Science
17,44,Fusion,Our
18,5,Gourmet,Challenge
18,6,Gourmet,Lay
18,7,Gourmet,Step
18,9,Fusion,Begin
18,16,Moderno,Interesting
18,32,Tradicional,Exist
18,35,Moderno,Apply
18,48,Gourmet,Role
19,4,Fusion,Worry
19,5,Gourmet,Worker
19,14,Fusion,Author
19,15,Gourmet,Describe
19,47,Fusion,After
19,49,Fusion,Shoulder
20,2,Fusion,Item
20,7,Tradicional,Evidence
20,8,Moderno,Either
20,20,Fusion,Office
20,31,Fusion,Side
20,45,Moderno,Yet
20,49,Moderno,Age
20,50,Fusion,Customer
21,10,Moderno,May
21,14,Tradicional,But
21,15,Gourmet,High
21,17,Fusion,Should
21,20,Gourmet,Each
21,22,Fusion,Behind
21,36,Fusion,Main
21,43,Tradicional,Audience
22,10,Moderno,Fact
22,14,Tradicional,Show
22,18,Fusion,Ahead
22,29,Fusion,Class
23,2,Tradicional,Sport
23,5,Tradicional,Plan
23,6,Gourmet,Evening
23,12,Tradicional,Number
23,20,Tradicional,Attention
23,25,Moderno,Forget
23,37,Gourmet,Talk
24,9,Fusion,Piece
24,10,Gourmet,Cultural
24,48,Tradicional,Modern
24,50,Moderno,Total
25,2,Tradicional,Simple
25,7,Moderno,Gun
25,8,Tradicional,Off
25,14,Gourmet,Various
25,25,Fusion,Minute
26,13,Fusion,Pull
26,16,Fusion,Buy
26,20,Tradicional,Blue
26,36,Tradicional,Conference
26,42,Gourmet,Despite
26,50,Tradicional,Morning
27,26,Fusion,Wall
27,39,Moderno,Glass
27,40,Fusion,Happen
27,50,Moderno,Those
28,6,Gourmet,Worker
28,15,Fusion,Half
28,24,Fusion,Financial
28,26,Gourmet,Mr
28,41,Tradicional,Teacher
28,42,Moderno,Discuss
28,43,Tradicional,Out
28,49,Moderno,Improve
29,8,Gourmet,Look
29,12,Gourmet,Then
29,15,Tradicional,Soon
29,31,Gourmet,Support
29,49,Fusion,Generation
30,9,Fusion,Quickly
30,16,Moderno,Town
30,18,Fusion,Man
30,31,Moderno,Produce
30,38,Moderno,Thank
30,44,Moderno,Item
31,3,Tradicional,Read
31,4,Moderno,Law
31,21,Fusion,Kind
31,23,Tradicional,Expect
31,35,Tradicional,Security
31,39,Tradicional,Through
32,12,Moderno,Center
32,19,Moderno,Unit
32,31,Moderno,Strategy
32,33,Gourmet,Very
32,47,Tradicional,The
32,49,Fusion,Face
32,50,Gourmet,Moment
33,8,Moderno,Team
33,10,Moderno,Both
33,11,Moderno,Back
33,18,Gourmet,Soon
33,36,Gourmet,Care
33,40,Moderno,Happen
33,43,Fusion,Feeling
34,1,Tradicional,From
34,3,Tradicional,Soon
34,9,Gourmet,Series
34,14,Fusion,Itself
34,27,Moderno,Option
34,40,Fusion,Rich
34,42,Gourmet,Wide
35,8,Moderno,Time
35,9,Moderno,Section
35,16,Moderno,Civil
35,32,Gourmet,Nature
36,7,Tradicional,Factor
36,12,Moderno,Participant
36,25,Gourmet,Middle
36,36,Gourmet,No
36,42,Fusion,Then
37,9,Fusion,Agreement
37,13,Fusion,New
37,17,Gourmet,Today
37,33,Moderno,Stage
37,40,Gourmet,For
37,48,Fusion,Personal
37,50,Fusion,Garden
38,4,Gourmet,Represent
38,6,Gourmet,Myself
38,11,Gourmet,Gun
38,14,Tradicional,Reveal
38,19,Tradicional,Knowledge
38,37,Fusion,First
38,39,Tradicional,Hospital
38,48,Fusion,Deal
39,2,Fusion,Relationship
39,4,Moderno,Trade
39,10,Tradicional,Future
39,13,Fusion,Drop
39,15,Moderno,Moment
39,18,Moderno,North
39,22,Moderno,Four
39,36,Fusion,Rest
40,40,Fusion,Experience
40,45,Gourmet,Suggest
40,48,Moderno,Manage
41,13,Gourmet,Fine
41,16,Fusion,Others
41,19,Gourmet,Like
42,5,Moderno,Film
42,9,Moderno,Late
42,13,Gourmet,No
42,26,Moderno,Money
42,33,Fusion,Fund
42,35,Gourmet,Could
