idRestaurante,nombre,anioApertura,rangoPrecios,descripcion
1,Restaurante 1,2001,$$$,Rest question only without should.
2,Restaurante 2,1991,$,Others serious know many position relationship despite.
3,Restaurante 3,1993,$$$,Form arrive plan hold act.
4,Restaurante 4,2004,$,Maybe environmental whole despite.
5,Restaurante 5,2021,$$$,Pull woman skill cause.
6,Restaurante 6,2003,$,System television soldier of have.
7,Restaurante 7,2011,$,Explain can last process recognize speech.
8,Restaurante 8,1998,$$$,Such morning break south institution.
9,Restaurante 9,1992,$,Staff air step near degree account smile deep.
10,Restaurante 10,2025,$,Past also when pay.
11,Restaurante 11,1997,$,Then also discussion action continue create watch.
12,Restaurante 12,2000,$$,Possible house situation tell black let.
13,Restaurante 13,2011,$,Move blood join help hold.
14,Restaurante 14,2024,$$,Spring free race world miss company.
15,Restaurante 15,1996,$$,Cold sense western then full recognize.
16,Restaurante 16,2006,$$,Both thing century several shoulder fish company.
17,Restaurante 17,2008,$$,Possible summer choose lay surface serve happen within.
18,Restaurante 18,2003,$$$,Thing strategy nature thus how.
19,Restaurante 19,1998,$,Role case would air when although.
20,Restaurante 20,2023,$$$,Available use blue give provide central off hold.
21,Restaurante 21,2011,$$,Get during itself education pass long now.
22,Restaurante 22,2024,$$,Couple who will by friend.
23,Restaurante 23,1991,$$,Artist without money behavior compare.
24,Restaurante 24,1994,$,Help item budget shake any well.
25,Restaurante 25,1999,$,Group pass forward send agency site.
26,Restaurante 26,2025,$,Chair school page summer.
27,Restaurante 27,2025,$,Begin ahead outside.
28,Restaurante 28,1993,$$$,Mother least vote business turn community.
29,Restaurante 29,2022,$,Country speech east social.
30,Restaurante 30,2001,$$$,City skin debate run however.
31,Restaurante 31,2021,$,Including member action whatever later cause learn.
32,Restaurante 32,1997,$$$,Decade big Mr four cell before really.
33,Restaurante 33,2017,$,Total capital public ago his performance raise.
34,Restaurante 34,2021,$,Discover several under agreement argue level.
35,Restaurante 35,1997,$,Hot plan never late.
36,Restaurante 36,2025,$$,Defense difficult drop.
37,Restaurante 37,2010,$$,Low interview skill prove.
38,Restaurante 38,2001,$,Mrs interesting more turn.
39,Restaurante 39,2018,$$,Suddenly five computer give learn.
40,Restaurante 40,2007,$$,Know every everybody military operation race.
41,Restaurante 41,1990,$,Pressure decision field three affect future station so.
42,Restaurante 42,2007,$$$,Fear family star son treat open sell political.
43,Restaurante 43,2005,$,Still sometimes clearly weight mother born hair.
44,Restaurante 44,2018,$,White fly us whose ever.
45,Restaurante 45,1992,$,Source bed another where than.
46,Restaurante 46,1994,$$$,Performance career as young.
47,Restaurante 47,2014,$$,Certainly other outside traditional forget bar across owner.
48,Restaurante 48,2003,$$$,Approach inside either east form half behind.
49,Restaurante 49,2024,$,Explain draw keep near day name.
50,Restaurante 50,2022,$$,Make management for cut.
