idTipoCocina,nombreTipo,descripcion
1,Italiana,Cocina tipo Italiana
2,Mexicana,Cocina tipo Mexicana
3,Japonesa,Cocina tipo Japonesa
4,China,Cocina tipo China
5,Francesa,Cocina tipo Francesa
6,Española,Cocina tipo Española
7,India,Cocina tipo India
8,Coreana,Cocina tipo Coreana
9,Mediterranea,Cocina tipo Mediterranea
10,Argentina,Cocina tipo Argentina
11,Peruana,Cocina tipo Peruana
12,Tailandesa,Cocina tipo Tailandesa
13,Vegetariana,Cocina tipo Vegetariana
14,Vegana,Cocina tipo Vegana
15,Internacional,Cocina tipo Internacional
