idChef,idRestaurante,fechaInicio,puesto
1,13,2019-05-20,Chef Ejecutivo
2,30,2022-05-26,Chef Principal
2,65,2016-06-23,Chef de Linea
3,98,2016-06-25,Chef de Linea
4,91,2024-09-21,Sous Chef
5,28,2019-04-28,Chef Ejecutivo
5,131,2022-02-07,Sous Chef
5,164,2017-08-16,Chef Ejecutivo
6,3,2017-04-06,Chef Principal
7,20,2025-09-15,Chef Ejecutivo
7,81,2016-12-03,Chef de Linea
7,184,2021-06-02,Chef Principal
8,1,2020-08-23,Chef de Linea
8,118,2023-11-23,Chef de Linea
8,163,2017-12-25,Chef Ejecutivo
9,17,2018-05-22,Chef de Linea
9,108,2017-09-17,Chef de Linea
9,122,2021-08-21,Chef Principal
10,106,2022-08-30,Sous Chef
10,195,2020-10-22,Chef de Linea
11,117,2024-04-02,Chef Ejecutivo
12,76,2019-03-03,Chef Ejecutivo
12,123,2019-01-16,Chef Principal
12,161,2018-09-10,Chef Ejecutivo
13,41,2021-02-06,Sous Chef
13,127,2018-04-01,Chef de Linea
13,182,2023-12-27,Chef de Linea
14,44,2024-09-22,Chef Principal
14,99,2016-12-21,Sous Chef
14,189,2026-02-04,Chef Principal
15,133,2020-09-28,Chef de Linea
16,17,2020-07-14,Chef Principal
16,57,2019-08-28,Chef de Linea
16,152,2020-05-11,Chef Principal
17,72,2022-11-23,Chef Principal
17,100,2023-01-18,Chef Ejecutivo
17,132,2025-07-17,Chef Principal
18,87,2017-09-21,Chef Principal
18,168,2020-10-11,Sous Chef
19,31,2025-10-31,Sous Chef
19,156,2025-12-15,Sous Chef
19,184,2023-09-21,Chef Ejecutivo
20,61,2025-06-24,Chef de Linea
20,92,2025-01-29,Chef Ejecutivo
20,115,2019-04-15,Chef de Linea
21,101,2024-05-21,Sous Chef
21,136,2016-10-05,Chef de Linea
22,33,2019-08-24,Chef de Linea
22,90,2023-02-24,Chef Principal
23,100,2025-03-11,Sous Chef
23,107,2025-03-25,Chef Ejecutivo
23,171,2023-06-12,Chef Principal
24,83,2023-01-23,Chef Ejecutivo
25,18,2020-09-29,Sous Chef
25,166,2022-04-16,Sous Chef
26,11,2022-10-26,Chef de Linea
27,11,2018-07-13,Chef Ejecutivo
28,106,2023-02-11,Chef Principal
28,131,2017-02-05,Chef Ejecutivo
29,43,2021-12-29,Sous Chef
29,90,2017-07-31,Sous Chef
30,71,2026-02-16,Chef Ejecutivo
30,82,2016-08-10,Sous Chef
30,91,2018-10-30,Chef de Linea
31,1,2019-11-07,Chef Principal
31,44,2023-03-23,Chef Principal
31,130,2024-08-06,Chef Ejecutivo
32,172,2023-12-19,Chef Ejecutivo
33,73,2016-08-11,Chef Principal
33,147,2018-11-23,Chef Ejecutivo
33,151,2018-04-30,Sous Chef
34,20,2021-08-15,Chef Principal
34,85,2017-10-17,Chef de Linea
34,130,2023-08-21,Chef Ejecutivo
35,136,2017-10-27,Chef Ejecutivo
36,165,2021-04-18,Sous Chef
37,172,2018-12-18,Chef Principal
38,105,2023-12-10,Chef Ejecutivo
38,110,2017-01-15,Chef Ejecutivo
39,103,2025-06-12,Chef Ejecutivo
39,117,2022-05-19,Chef Principal
39,126,2026-06-16,Sous Chef
40,46,2019-09-22,Chef Ejecutivo
40,81,2018-12-13,Chef Principal
40,146,2023-12-23,Chef de Linea
41,25,2016-12-12,Chef de Linea
41,61,2020-12-29,Chef Ejecutivo
41,127,2019-10-23,Chef de Linea
42,87,2025-01-06,Chef Ejecutivo
43,41,2024-01-08,Sous Chef
43,72,2022-06-04,Chef de Linea
43,104,2018-09-11,Chef Principal
44,147,2020-03-29,Chef Principal
44,170,2017-08-01,Chef Ejecutivo
44,196,2026-03-16,Sous Chef
45,49,2025-12-28,Chef Principal
46,72,2019-02-01,Chef Ejecutivo
46,85,2026-04-16,Chef de Linea
47,142,2018-06-18,Chef Ejecutivo
47,162,2023-09-25,Chef Ejecutivo
47,185,2017-05-30,Sous Chef
48,181,2018-09-06,Chef Principal
49,16,2024-11-21,Chef Principal
49,93,2025-12-23,Sous Chef
50,82,2023-08-07,Chef de Linea
50,91,2022-12-27,Chef Ejecutivo
50,144,2025-11-05,Chef Principal
51,29,2017-10-15,Sous Chef
51,56,2025-12-24,Sous Chef
51,68,2022-04-12,Chef Ejecutivo
52,77,2025-06-05,Chef Ejecutivo
52,153,2019-04-13,Chef Ejecutivo
