idUsuario,idRestaurante,fechaVisita,consumo,conReserva
79,16,2024-06-22,109.65,true
182,185,2024-01-05,185.68,false
206,124,2025-02-28,173.36,false
380,29,2023-11-29,199.78,false
71,6,2025-02-20,322.93,true
263,13,2023-11-08,128.85,false
109,19,2024-05-17,41.86,false
66,117,2026-03-19,208.43,true
291,116,2023-08-15,336.14,false
144,2,2024-01-03,337.61,false
422,102,2025-04-15,220.22,true
422,199,2026-02-27,267.27,true
68,125,2026-02-03,118.7,true
15,76,2026-03-24,75.23,false
27,75,2026-04-23,315.77,false
164,54,2023-06-30,122.01,true
436,104,2024-02-29,260.69,false
244,6,2023-09-23,241.07,true
419,108,2024-10-31,157.24,true
249,50,2024-02-06,162.65,true
178,194,2024-10-05,232.4,true
19,68,2024-10-16,169.35,false
325,164,2025-07-07,324.78,true
60,2,2023-08-10,335.27,true
447,121,2026-03-08,209.13,true
191,13,2024-09-16,212.55,false
269,127,2025-11-02,39.99,true
427,18,2026-03-16,176.05,true
249,66,2025-10-11,275.89,true
178,45,2023-12-25,57.7,false
300,155,2025-10-12,234.39,false
194,185,2026-02-27,120.64,false
419,94,2024-08-12,270.95,true
1,191,2024-07-19,281.56,true
484,14,2023-11-03,172.44,false
301,66,2026-01-21,328.56,false
30,102,2025-08-21,157.0,false
385,120,2024-11-22,26.33,true
24,155,2024-05-21,41.56,false
262,122,2026-05-04,106.44,true
365,31,2026-03-28,287.81,true
483,138,2023-08-29,321.51,true
210,82,2024-05-22,171.43,false
197,57,2024-12-06,114.48,false
146,124,2024-01-20,279.66,false
133,119,2025-02-24,63.01,true
142,133,2024-09-07,338.79,false
201,2,2023-11-03,114.09,true
389,158,2026-02-23,129.94,false
379,180,2026-04-17,184.25,true
178,101,2024-08-07,135.82,false
12,149,2024-03-09,332.18,true
118,114,2024-03-11,80.62,false
280,171,2024-04-12,233.95,false
277,47,2026-06-21,175.61,true
25,35,2025-08-09,158.09,false
437,40,2026-04-04,45.59,true
409,35,2024-09-04,188.9,false
373,165,2026-05-26,180.19,true
358,98,2025-10-09,318.47,false
378,22,2024-09-15,111.14,false
261,55,2026-01-30,39.76,false
78,58,2025-10-25,231.6,false
142,44,2023-11-23,43.15,true
393,86,2026-06-05,77.16,false
465,77,2026-05-30,107.88,false
348,5,2026-03-15,250.45,true
29,153,2024-11-23,221.75,true
19,179,2023-11-10,60.92,true
482,50,2025-01-29,297.29,false
119,124,2023-11-03,102.28,false
333,132,2024-05-29,197.22,true
107,174,2024-12-05,217.94,true
353,83,2026-01-25,312.64,true
196,199,2024-05-06,269.65,false
283,144,2024-05-26,324.67,false
32,39,2026-03-06,58.47,false
157,195,2025-10-16,297.11,true
105,54,2024-10-16,312.68,true
94,20,2024-10-27,286.36,true
191,117,2023-11-22,314.77,true
305,34,2023-11-25,256.91,true
215,174,2025-02-02,230.91,true
393,87,2025-08-27,337.65,false
205,78,2025-06-23,304.56,true
309,116,2025-08-10,237.2,true
255,86,2025-01-08,205.64,true
229,105,2024-02-27,29.24,false
305,129,2025-10-01,92.21,true
35,187,2025-08-03,339.96,false
470,71,2026-02-01,309.05,true
237,159,2026-05-04,93.8,false
29,129,2025-12-05,89.19,true
246,172,2024-04-04,280.06,false
459,187,2025-05-24,299.37,false
410,87,2025-12-12,62.62,true
